"","site1","site2","temp_sun","temp_shade","temp_tus","temp_bur","whole_temp","jul_day","jul_time","min_time","max_time"
"1","JE","GRIDO",NA,23,NA,21.5,23,348,348.375,348.342669159544,348.773032407407
"2","JE","GRIDO",NA,23,NA,21.5,23,348,348.416666666667,348.342669159544,348.773032407407
"3","JE","GRIDO",NA,22.5,NA,22,22,348,348.458333333333,348.342669159544,348.773032407407
"4","JE","GRIDO",NA,27.5,NA,22,27,348,348.5,348.342669159544,348.773032407407
"5","JE","GRIDO",NA,34,NA,23.5,34,348,348.541666666667,348.342669159544,348.773032407407
"6","JE","GRIDO",NA,31.5,NA,24.5,31,348,348.583333333333,348.342669159544,348.773032407407
"7","JE","GRIDO",NA,27.5,NA,25,27,348,348.625,348.342669159544,348.773032407407
"8","JE","GRIDO",NA,24,NA,25,24,348,348.666666666667,348.342669159544,348.773032407407
"9","JE","GRIDO",NA,22.5,NA,25,22,348,348.708333333333,348.342669159544,348.773032407407
"10","JE","GRIDO",NA,20.5,NA,24.5,20,348,348.75,348.342669159544,348.773032407407
"11","JE","GRIDO",NA,23,NA,21.5,23,348,348.375,348.342669159544,348.773032407407
"12","JE","GRIDO",NA,23,NA,21.5,23,348,348.416666666667,348.342669159544,348.773032407407
"13","JE","GRIDO",NA,22.5,NA,22,22,348,348.458333333333,348.342669159544,348.773032407407
"14","JE","GRIDO",NA,27.5,NA,22,27,348,348.5,348.342669159544,348.773032407407
"15","JE","GRIDO",NA,34,NA,23.5,34,348,348.541666666667,348.342669159544,348.773032407407
"16","JE","GRIDO",NA,31.5,NA,24.5,31,348,348.583333333333,348.342669159544,348.773032407407
"17","JE","GRIDO",NA,27.5,NA,25,27,348,348.625,348.342669159544,348.773032407407
"18","JE","GRIDO",NA,24,NA,25,24,348,348.666666666667,348.342669159544,348.773032407407
"19","JE","GRIDO",NA,22.5,NA,25,22,348,348.708333333333,348.342669159544,348.773032407407
"20","JE","GRIDO",NA,20.5,NA,24.5,20,348,348.75,348.342669159544,348.773032407407
"21","REF","1A",NA,24.5,NA,23,24,348,348.375,348.342669159544,348.773032407407
"22","REF","1A",NA,25.5,NA,23,25,348,348.416666666667,348.342669159544,348.773032407407
"23","REF","1A",NA,25,NA,23.5,25,348,348.458333333333,348.342669159544,348.773032407407
"24","REF","1A",NA,31,NA,23.5,31,348,348.5,348.342669159544,348.773032407407
"25","REF","1A",NA,38.5,NA,25,38,348,348.541666666667,348.342669159544,348.773032407407
"26","REF","1A",NA,35.5,NA,26,35,348,348.583333333333,348.342669159544,348.773032407407
"27","REF","1A",NA,29.5,NA,27,29,348,348.625,348.342669159544,348.773032407407
"28","REF","1A",NA,26,NA,27,26,348,348.666666666667,348.342669159544,348.773032407407
"29","REF","1A",NA,24,NA,26.5,24,348,348.708333333333,348.342669159544,348.773032407407
"30","REF","1A",NA,21.5,NA,26,21,348,348.75,348.342669159544,348.773032407407
"31","REF","1A",NA,22,NA,23,22,348,348.375,348.342669159544,348.773032407407
"32","REF","1A",NA,23,NA,23,23,348,348.416666666667,348.342669159544,348.773032407407
