ged,sex,state,ta.setting,ta.reading,mass.specific.mr (ml O2 g-1 -h),vo2 (ml/h),body.mass,run
91,F,ACT,38,38.79,0.367998628,1.683014,4.573424658,1
91,F,ACT,38,40.21,0.439076565,2.007843,4.572876712,1
91,F,ACT,38,36.87,0.341846591,1.563035,4.572328767,1
91,F,ACT,38,37.58,0.299296282,1.368317,4.571780822,1
91,F,ACT,38,40.21,0.407868523,1.864462,4.571232877,1
91,F,ACT,38,37.50,0.387104127,1.769331,4.570684932,1
91,F,ACT,35,34.87,0.30777785,1.406081,4.568493151,1
91,F,ACT,35,33.90,0.23876775,1.090678,4.567945205,1
91,F,ACT,35,36.31,0.254152405,1.160815,4.56739726,1
91,F,ACT,35,36.29,0.340596305,1.555452,4.566849315,1
91,F,ACT,35,33.80,0.265912804,1.214238,4.56630137,1
91,F,ACT,35,35.51,0.226508509,1.034182,4.565753425,1
91,F,ACT,30,31.89,0.228342807,1.041556,4.561369863,1
91,F,ACT,30,29.82,0.102100281,0.4656612,4.560821918,1
91,F,ACT,30,29.25,0.128914426,0.5878851,4.560273973,1
91,F,ACT,30,31.97,0.119890251,0.5466667,4.559726027,1
91,F,ACT,30,29.83,0.23947562,1.091812,4.559178082,1
91,F,ACT,30,29.19,0.124508127,0.5675865,4.558630137,1
91,F,ACT,25,24.58,0.123108916,0.5606009,4.55369863,1
91,F,ACT,25,24.94,0.132665497,0.604046,4.553150685,1
91,F,ACT,25,26.64,0.156902577,0.7143151,4.55260274,1
91,F,ACT,25,23.93,0.072152185,0.3284407,4.552054795,1
91,F,ACT,25,25.61,0.135724326,0.6177502,4.551506849,1
91,F,ACT,25,26.11,0.076406183,0.3477214,4.550958904,1
91,F,ACT,20,20.72,0.09050163,0.4113733,4.545479452,1
91,F,ACT,20,19.38,0.062654322,0.2847596,4.544931507,1
91,F,ACT,20,21.33,0.06078413,0.2762264,4.544383562,1
91,F,ACT,20,19.16,0.11861514,0.5389677,4.543835616,1
91,F,ACT,20,20.85,0.051607276,0.2344667,4.543287671,1
91,F,ACT,20,20.47,0.069488419,0.3156678,4.542739726,1
31,F,ACT,25,26.01,0.116763565,0.624925,5.352054795,1
31,F,ACT,25,25.4,0.113672827,0.6082742,5.35109589,1
31,F,ACT,25,24.42,0.102731575,0.549628,5.350136986,1
31,F,ACT,25,26.37,0.10725859,0.5737453,5.349178082,1
31,F,ACT,25,24.83,0.12140041,0.649276,5.348219178,1
31,F,ACT,25,23.56,0.087851867,0.4697668,5.347260274,1
31,F,ACT,20,19.86,0.081409461,0.434615,5.338630137,1
31,F,ACT,20,20.59,0.048686344,0.2598717,5.337671233,1
31,F,ACT,20,20.63,0.072465326,0.3867266,5.336712329,1
31,F,ACT,20,19.8,0.06677936,0.3563182,5.335753425,1
31,F,ACT,20,21.35,0.052771836,0.2815269,5.334794521,1
31,F,ACT,20,19.64,0.027279675,0.1455053,5.333835616,1
71,F,ACT,25,24.81,0.097187556,0.3752771,3.861369863,1
71,F,ACT,25,25.38,0.110107482,0.4248188,3.858219178,1
71,F,ACT,25,23.3,0.060641413,0.2337768,3.855068493,1
71,F,ACT,25,25.31,0.108342628,0.4173269,3.851917808,1
71,F,ACT,25,24.45,0.107239172,0.4127386,3.848767123,1
71,F,ACT,25,23.68,0.187349834,0.7204756,3.845616438,1
71,F,ACT,20,18.23,0.025137923,0.0961164,3.823561644,1
71,F,ACT,20,19.4,0.061549321,0.2351437,3.820410959,1
71,F,ACT,20,20.59,0.027802348,0.1061288,3.817260274,1
71,F,ACT,20,18.5,0.080802083,0.308188,3.814109589,1
71,F,ACT,20,20.36,0.044680802,0.1702767,3.810958904,1
71,F,ACT,20,19.61,0.049749433,0.1894363,3.807808219,1
22,M,ACT,38,37.55244615,0.180313748,0.8729365,4.841208791,1
22,M,ACT,38,37.86261154,0.346622295,1.67769,4.84010989,1
22,M,ACT,38,37.1576902,0.307103456,1.486077,4.839010989,1
22,M,ACT,38,37.40206293,0.320474199,1.550426,4.837912088,1
22,M,ACT,38,37.33627027,0.325307375,1.573451,4.836813187,1
22,M,ACT,38,37.43025978,0.291347651,1.408874,4.835714286,1
22,M,ACT,35,33.75526987,0.241918884,1.167458,4.825824176,1
22,M,ACT,35,34.90194191,0.23380212,1.128031,4.824725275,1
22,M,ACT,35,34.90194191,0.237904413,1.147562,4.823626374,1
22,M,ACT,35,34.29101008,0.255420836,1.231774,4.822527473,1
22,M,ACT,35,34.04663735,0.255124178,1.230063,4.821428571,1
22,M,ACT,35,34.61057443,0.284844003,1.373042,4.82032967,1
22,M,ACT,30,29.82650827,0.203752091,0.9787937,4.803846154,1
22,M,ACT,30,29.35656071,0.141997583,0.6819785,4.802747253,1
22,M,ACT,30,29.53514078,0.258376688,1.240634,4.801648352,1
22,M,ACT,30,29.90169988,0.181941819,0.8734207,4.800549451,1
22,M,ACT,30,29.95809359,0.091167603,0.4375544,4.799450549,1
22,M,ACT,30,29.39415651,0.162164834,0.7781239,4.798351648,1
22,M,ACT,25,24.84506414,0.074774609,0.357891,4.786263736,1
22,M,ACT,25,24.97664946,0.077015529,0.368532,4.785164835,1
22,M,ACT,25,25.3338096,0.082108024,0.3928102,4.784065934,1
22,M,ACT,25,25.24921904,0.083668735,0.4001848,4.782967033,1
22,M,ACT,25,24.67588302,0.068875216,0.3293522,4.781868132,1
22,M,ACT,25,25.24921904,0.031472174,0.1504612,4.780769231,1
22,M,ACT,20,20.77531827,0.044985722,0.2142754,4.763186813,1
22,M,ACT,20,20.41815813,0.05180682,0.2466517,4.760989011,1
22,M,ACT,20,20.34296652,0.042355663,0.2016083,4.75989011,1
22,M,ACT,20,21.29226059,0.063343502,0.3014385,4.758791209,1
22,M,ACT,20,20.38996127,0.044538105,0.2118986,4.757692308,1
22,M,ACT,20,20.77531827,0.057066011,0.2713771,4.755494505,1
15,F,ACT,38,37.43,0.439473986,3.059077,6.960769231,1
15,F,ACT,38,37.23,0.424523967,2.954127,6.958681319,1
15,F,ACT,38,37.36,0.414259513,2.881835,6.956593407,1
15,F,ACT,38,37.44,0.385703053,2.682374,6.954505495,1
15,F,ACT,38,37.42,0.413141467,2.872332,6.952417582,1
15,F,ACT,38,37.38,0.454376145,3.158064,6.95032967,1
15,F,ACT,35,34.07,0.294335366,2.041426,6.935714286,1
15,F,ACT,35,34.31,0.312593278,2.167405,6.933626374,1
15,F,ACT,35,34.44,0.391012762,2.71032,6.931538462,1
15,F,ACT,35,34.54,0.376740981,2.610608,6.929450549,1
